"Date, Rm",Topic,Do Before Class,In-Class Exercise
"Tues, Aug 27","- Class Introduction
- Welcome to VS Code","- **SETUP 1:** `Installing Python and miniconda <../notebooks/PDS_not_yet_in_coursera/00_setup_env/setup_python.html>`_
- **SETUP 2:** `Installing and Configuring VS Code <../notebooks/PDS_not_yet_in_coursera/00_setup_env/setup_vscode.html>`_
- `chatGPT and You <../notebooks/PDS_not_yet_in_coursera/99_advice/llms.html>`_",
"Thurs, Aug 29",- Command Line Basics,"- **SETUP 3:** `Setup Augmented Command Line <../notebooks/PDS_not_yet_in_coursera/00_setup_env/setup_augmented_commandline.html>`_
- `Command Line Basics <../notebooks/PDS_not_yet_in_coursera/10_commandline/commandline_part1.html>`_
- `Read and sign syllabus, submit on gradescope <https://github.com/nickeubank/practicaldatascience_book/raw/main/ids720_specific/syllabus/Syllabus_PracticalDataScience.pdf?download=>`_
- `Register with IPUMS <https://uma.pop.umn.edu/usa/user/new>`_
- `Register for DataCamp <https://www.datacamp.com/home>`_
",- `Ex <exercises/Exercise_CommandLine_1_Basics.html>`_
"Tues, Sep 3","- Advanced Command Line
- Packages
- Jupyter","- `Advanced Command Line <../notebooks/PDS_not_yet_in_coursera/10_commandline/commandline_part2.html>`_
- `Python packages <../notebooks/class_2/week_4/30_managing_python_packages.html>`_
- **SETUP 4:** `Jupyter in VS Code <../notebooks/PDS_not_yet_in_coursera/00_setup_env/jupyter_in_vscode.html>`_
- **OPTIONAL SETUP:** `R Jupyter Notebooks <../notebooks/PDS_not_yet_in_coursera/00_setup_env/jupyter_r_notebooks.html>`_","- `Ex 1 <exercises/Exercise_CommandLine_2_Advanced.html>`_
- `Ex 2 <exercises/Exercise_jupytervscode.html>`_"
"Thurs, Sep 5","- Python Debugger
- R / Python Differences
- Packages","- `What are Tracebacks? <https://www.youtube.com/watch?v=JD8BrXXNtjA>`_
- `Debugging Tools <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/10_debugging_principles.html>`_
- `Python Debugger in VS Code <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/20_debugging_in_vscode.html>`_
- `variables v objects <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/vars_v_objects.html>`_
- `Ergonomics <../notebooks/PDS_not_yet_in_coursera/99_advice/ergonomics_and_adaptive_tech.html>`_
- `Python v. R <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/python_v_r.html>`_","- `Ex 1 <exercises/Exercise_debugger.html>`_
- `Ex 2 <exercises/Exercise_variables_v_objects.html>`_"
"Tues, Sep 10",- Git,"- `Git and Github <../notebooks/PDS_not_yet_in_coursera/10_commandline/git_and_github.html>`_
- `Create an ssh key and register with ssh-agent (you don't need to create a passphrase) <https://docs.github.com/en/authentication/connecting-to-github-with-ssh/generating-a-new-ssh-key-and-adding-it-to-the-ssh-agent>`_
- If you don't have a github account, make one. Register a passkey or at least two factor authentication.
- `Add your ssh key to your github account <https://docs.github.com/en/authentication/connecting-to-github-with-ssh/adding-a-new-ssh-key-to-your-github-account>`_
- `Visualize Git Branches <https://learngitbranching.js.org/>`_",- `Ex 1 <exercises/Exercise_git.html>`_
"Thurs, Sep 12",- Numpy Basics,"- Under the numpy heading, `read everything under Vectors EXCEPT Speed/Ease of Use Tradeoff and Vectorization <../notebooks/class_2/week_2/10_why_numpy.html>`_
- Under the numpy heading, also read everything under `Subsetting Vectors <../notebooks/class_2/week_2/10_why_numpy.html>`_
- `Numbers in Computers <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/ints_and_floats.html>`_
- `Writing Good Notebooks <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/writing_good_jupyter_notebooks.html>`_",
"Tues, Sep 17",- Numpy Arrays,"**More Numpy Concepts:**

- `Views and Copies <../notebooks/class_2/week_3/10_views_and_copies.html>`_
- `When Do I Get a View <../notebooks/class_2/week_3/11_when_do_I_get_a_view.html>`_
- `Variables, Objects, and Numpy <../notebooks/class_2/week_3/13_objects_and_variables.html>`_
- `Views and Copies Recap <../notebooks/class_2/week_3/12_views_and_copies_recap.html>`_

**Matrices:**

- `Matrices — From Welcome through Review of Matrices <../notebooks/class_2/week_3/00_welcome_to_week_3.html>`_ (*see navigation bar on left*)

**ND Arrays:**

- `Arrays — From Welcome through Color Images as Arrays <../notebooks/class_2/week_3/40_nd_arrays.html>`_ (*see navigation bar on left*)",
"Thurs, Sep 19",- Pandas: Series,"- `Speed / Ease of Use Tradeoff <../notebooks/class_2/week_4/10_speed_and_ease_of_use.html>`_
- `Vectorization <../notebooks/class_2/week_4/11_vectorization.html>`_
- `Pandas: From Working with Tabular Data through Subsetting and Indexing with Single Square Brackets <../notebooks/class_3/week_2/00_intro_to_pandas.html>`_",
"Tues, Sep 24",- Pandas: DataFrames,"- `Pandas DataFrames <../notebooks/class_3/week_2/30_pandas_dataframes.html>`_
- `Pandas DataFrame Gotchas <../notebooks/class_3/week_2/35_pandas_dataframe_gotchas.html>`_
- `PyArrow Backend <../notebooks/class_3/week_2/50_pandas_pyarrow.html>`_",
"Thurs, Sep 26",- Pandas: Indices & Missing,"- WM pp 136-142 (Indices, Section 5.2 up to MultiIndexes)
- `Handling Missing Data <https://jakevdp.github.io/PythonDataScienceHandbook/03.04-missing-values.html>`_
- `Views and Copies in Pandas through the View/Copy Headache without CoW <../notebooks/class_3/week_3/10_views_and_copies_numpy_review.html>`_
- `If you didn't read Tuesday: PyArrow Backend <../notebooks/class_3/week_2/50_pandas_pyarrow.html>`_",
