SepalWidthCm,PetalWidthCm,Species
2.6,1.2,Iris-versicolor
3.1,1.5,Iris-versicolor
3.2,1.5,Iris-versicolor
3.8,0.2,Iris-setosa
2.8,1.4,Iris-versicolor
2.8,1.3,Iris-versicolor
3.8,0.3,Iris-setosa
3.8,2.0,Iris-virginica
3.7,0.2,Iris-setosa
2.9,1.3,Iris-versicolor
3.8,0.4,Iris-setosa
3.3,0.5,Iris-setosa
3.0,1.5,Iris-versicolor
3.6,0.2,Iris-setosa
3.5,0.2,Iris-setosa
3.0,1.3,Iris-versicolor
3.0,2.1,Iris-virginica
3.5,0.3,Iris-setosa
2.2,1.5,Iris-virginica
3.4,0.3,Iris-setosa
2.9,1.3,Iris-versicolor
3.0,0.2,Iris-setosa
2.5,1.3,Iris-versicolor
3.0,2.1,Iris-virginica
3.6,2.5,Iris-virginica
3.2,0.2,Iris-setosa
2.7,1.3,Iris-versicolor
3.5,0.2,Iris-setosa
3.0,2.3,Iris-virginica
3.0,2.3,Iris-virginica
2.9,1.5,Iris-versicolor
2.6,2.3,Iris-virginica
3.5,0.2,Iris-setosa
2.2,1.5,Iris-versicolor
3.3,2.5,Iris-virginica
2.9,1.3,Iris-versicolor
3.3,1.6,Iris-versicolor
4.2,0.2,Iris-setosa
2.5,2.0,Iris-virginica
3.8,0.3,Iris-setosa
3.0,1.5,Iris-versicolor
2.9,1.8,Iris-virginica
2.9,1.8,Iris-virginica
2.8,2.0,Iris-virginica
3.0,0.1,Iris-setosa
